path	category	ownership	lines	bytes	sha256
backend/ent/account_update.go	backend-go	generated	1955	60936	aa336a4022c02dcbcece0f81b3776ee076a5fcad8bc93087ffd0da1d5cca77a3
backend/ent/accountgroup.go	backend-go	generated	176	6153	f466fa287851b7007e5c0370cbbf7dd4c88f928db89a4be97394c252bfddd820
backend/ent/accountgroup/accountgroup.go	backend-go	generated	123	4331	a8323702375ecbe96166c20888999ab73bebe2ab8f19dbd690987d67d02e97b2
backend/ent/accountgroup/where.go	backend-go	generated	212	7577	a215026fbc6a2e413ee9f32ec26fece207c7178fe0af856052cdca613362310d
backend/ent/accountgroup_create.go	backend-go	generated	653	19756	43e8d3027dc95adbf8d47f02e14f884b67bc9a749fda0fe43661acb4861606e5
backend/ent/accountgroup_delete.go	backend-go	generated	87	2311	b2ee5612cd23c596004990ac48448b036d35846f0156fb4d8760af67529b9e24
backend/ent/accountgroup_query.go	backend-go	generated	640	19118	686efb435682f55586bd1ee1e7cde198978c69bddd37ae6aa5d8d267dcd1d4b3
backend/ent/accountgroup_update.go	backend-go	generated	477	14650	9c1c23ddc6ebf190365bffa6b81e4e6bf9b1fb6fa885a6d8c7ba34c51fa6050c
backend/ent/announcement.go	backend-go	generated	260	9227	3bb79686a13198824d9447ae74a7bc9194dddec520cfe59e2f75c0c4b6f30775
backend/ent/announcement/announcement.go	backend-go	generated	176	6481	146df1f94b83bc29635b4d59b703feafa845a6ce1054f7b5d410f71489c31ef4
backend/ent/announcement/where.go	backend-go	generated	694	25911	34ed36b474d139dea0047f5b2f98ec0e27838429dbbc48ee9e15b2d8c3da2e75
backend/ent/announcement_create.go	backend-go	generated	1229	37580	248ea0e217abeaed9d6c688f2156757dac9e8dee53926a4fe79db5f5e522fa38
backend/ent/announcement_delete.go	backend-go	generated	88	2397	870ba038fdfedea774394174ee050bbc5332ba125c4c8757cf7c0e9933adfe1b
backend/ent/announcement_query.go	backend-go	generated	643	19262	ab2119d831ca276e0478cb5c6624f6de551963f6b53e129dc8c17f26a48346a4
backend/ent/announcement_update.go	backend-go	generated	868	26972	efe4b6f42057857447039d6ab7421d1edcdc2a1258e07b9d6bb15ee6d0a90870
backend/ent/announcementread.go	backend-go	generated	185	6726	f137e1c01e916af6407d1ad6f7d2e9fb890d1fb7907e36f3f741a9e254e95020
backend/ent/announcementread/announcementread.go	backend-go	generated	127	4526	4e449c6530f37e53730532cbf348118068a69d1955dc3cf29b53c014575f65bd
backend/ent/announcementread/where.go	backend-go	generated	257	9477	af6f5ecf77c2a307f6917803c76f9d6cce75033ebe8f3ef00ebde7ce426ac7e3
